date,close,high,low,open,volume,RSI,daily_return,SMA_10,SMA_50,volatilidad_10d,target_direction,VIX,fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona,day_of_week,month,quarter,year,day_of_month,week_of_year,month_sin,month_cos,day_sin,day_cos,sentiment_volume_interaction,vix_rsi_interaction
2023-10-05,172.7247314453125,173.2579782200924,170.52258153582127,171.61871413723316,48527900,49.79320939529724,0.0071978369919261,170.82674407958984,177.40392517089845,0.0110506730247036,1,18.489999771118164,2023-10-05,284.0,0.958,3.125,2.166,5.291,3.369,21.079,3,10,4,2023,5,40,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,46489728.199999996,9.206764303222847
2023-10-06,175.27252197265625,175.76627518846593,171.01635659512883,171.62862082907645,57266700,48.99167552870325,0.0147505832316225,171.09337463378907,177.0984020996094,0.0118811917592045,1,17.450000762939453,2023-10-06,214.0,0.133,2.8,2.667,5.466,2.859,21.374,4,10,4,2023,6,40,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,7616471.100000001,8.549047753535538
2023-10-09,176.7537841796875,176.81303215553828,173.6036362062995,174.6010122921434,42390800,49.834723461095685,0.0084511946901884,171.38074340820313,176.77102600097658,0.0119437643050359,0,17.700000762939453,2023-10-09,126.0,0.339,2.958,2.619,5.577,3.657,21.535,0,10,4,2023,9,41,-0.8660254037844386,0.5000000000000001,0.0,1.0,14370481.200000001,8.820746432822702
2023-10-10,176.1612548828125,177.47464011941017,175.72674968355904,175.8748846750232,43698000,56.83318709245215,-0.0033522863435423,172.01571044921874,176.41957092285156,0.0084267571227292,1,17.030000686645508,2023-10-10,205.0,-0.276,2.539,2.815,5.354,3.331,22.692,1,10,4,2023,10,41,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-12060648.000000002,9.678692152087127
2023-10-11,177.55361938476562,177.60299770884345,175.38110873868183,175.9736034231689,47551100,63.92971231948465,0.0079039202058328,172.94100189208984,176.1125308227539,0.007222790729667,1,16.09000015258789,2023-10-11,193.0,0.62,3.234,2.614,5.848,3.398,21.589,2,10,4,2023,11,41,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,29481682.0,10.28629080975408
2023-10-12,178.45230102539062,180.061926326966,176.80315195865202,177.8202974866024,56743100,64.01518837313941,0.0050614661854766,173.93048706054688,175.88322662353517,0.0070980692359828,0,16.690000534057617,2023-10-12,142.0,0.27,2.777,2.507,5.284,2.561,21.802,3,10,4,2023,12,41,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,15320637.000000002,10.684135281354957
2023-10-13,176.61550903320312,179.6570151987734,175.91437292525092,179.1533924067404,51427100,56.38543419442256,-0.0102929016977267,174.68494110107423,175.6449966430664,0.0087275963151357,0,19.31999969482422,2023-10-13,221.0,1.04,2.906,1.866,4.771,2.897,21.185,4,10,4,2023,13,41,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,53484184.0,10.89366571428775
2023-10-16,176.4871368408203,176.84263973108403,174.3047411678942,174.54174811745375,52517000,69.09590093452232,-0.0007268455249798,175.17573089599608,175.58526123046877,0.008020775386144,0,17.209999084472656,2023-10-16,277.0,-0.077,2.872,2.949,5.821,3.887,21.843,0,10,4,2023,16,42,-0.8660254037844386,0.5000000000000001,0.0,1.0,-4043809.0,11.891403918239426
2023-10-17,174.9367218017578,176.19085892709333,172.6160912129652,174.44296868905948,57549400,68.93996669268076,-0.0087848614171857,175.6447952270508,175.55644927978517,0.0081750695956336,0,17.8799991607666,2023-10-17,310.0,0.236,2.784,2.548,5.332,3.363,22.66,1,10,4,2023,17,42,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,13581658.399999999,12.326465466084095
2023-10-18,173.64309692382812,175.36136323860268,172.92222157401596,173.38635072108465,54764400,63.70392969362254,-0.0073948160489463,175.86006774902344,175.48302734375,0.0085767816843877,0,19.21999931335449,2023-10-18,206.0,0.135,2.896,2.761,5.657,3.522,22.51,2,10,4,2023,18,42,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,7393194.000000001,12.24389484969408
2023-10-19,173.2678680419922,175.6181228712257,173.00123711265553,173.84060845589931,59302900,61.39400125602119,-0.0021609202351449,175.9143814086914,175.43385559082031,0.0083675035196354,0,21.39999961853028,2023-10-19,211.0,0.256,2.894,2.638,5.532,3.507,22.16,3,10,4,2023,19,42,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,15181542.4,13.13831603458901
2023-10-20,170.72006225585938,173.22832116198327,170.4830553633475,173.11969488643376,64244000,47.67245078238095,-0.0147044331700055,175.45913543701172,175.33806701660157,0.0079047633453908,1,21.709999084472656,2023-10-20,220.0,-0.191,2.729,2.92,5.649,3.676,22.465,4,10,4,2023,20,42,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-12270604.0,10.349688628400582
2023-10-23,170.83859252929688,171.8359684831129,167.80694090892598,168.77470794688867,55980100,51.71822385451006,0.0006942961001259,174.86761627197265,175.24346435546877,0.0070322537654263,1,20.3700008392334,2023-10-23,130.0,-0.318,2.672,2.99,5.662,3.411,21.618,0,10,4,2023,23,43,-0.8660254037844386,0.5000000000000001,0.0,1.0,-17801671.8,10.535002633200307
2023-10-24,171.2730712890625,171.50019348742782,169.30792860053273,170.88794448829165,43816600,49.33879838759851,0.0025432120069188,174.37879791259766,175.12456787109377,0.0072772939767089,0,18.96999931335449,2023-10-24,239.0,-0.407,2.786,3.193,5.98,3.579,22.194,1,10,4,2023,24,43,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-17833356.2,9.359569715344794
2023-10-25,168.96234130859375,170.89784530264086,168.51795139973865,169.73259505065448,57157000,39.25559765879642,-0.0134914961416723,173.51967010498046,174.9991549682617,0.0069216237506688,0,20.190000534057617,2023-10-25,295.0,0.838,2.589,1.751,4.34,2.559,20.418,2,10,4,2023,25,43,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,47897566.0,7.925705376958506
2023-10-26,164.804931640625,169.2388405091802,163.600172706508,168.2414494672427,70625300,22.624053021233397,-0.0246055401207754,172.1549331665039,174.8079736328125,0.0083713638267265,1,20.68000030517578,2023-10-26,315.0,0.026,2.803,2.776,5.579,3.094,22.018,3,10,4,2023,26,43,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1836257.7999999998,4.678654233834197
2023-10-27,166.11831665039062,166.8490767618186,164.7456834493569,164.82468576422622,58499100,21.938595573019413,0.0079693307517616,171.10521392822267,174.69381805419923,0.0096793014559191,1,21.270000457763672,2023-10-27,471.0,-0.625,2.61,3.235,5.845,3.442,21.67,4,10,4,2023,27,43,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-36561937.5,4.66633937880815
2023-10-30,168.16244506835938,169.03145545417337,166.7601878982554,166.90832288755587,51131000,30.3969449434656,0.0123052560318845,170.27274475097656,174.61086730957032,0.0112309997865397,1,19.75,2023-10-30,243.0,0.113,2.804,2.691,5.495,3.208,21.295,0,10,4,2023,30,44,-0.8660254037844386,0.5000000000000001,0.0,1.0,5777803.0,6.003396626334455
2023-10-31,168.636474609375,168.76484019690602,165.80232095364974,167.23421730907862,44846000,27.11629458726675,0.0028188787384895,169.6427200317383,174.51073486328124,0.0113679030550271,1,18.13999938964844,2023-10-31,333.0,0.572,3.293,2.72,6.013,3.563,21.231,1,10,4,2023,31,44,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,25651911.999999996,4.918895672625462
2023-11-01,171.79644775390625,172.05319393081336,167.9945430130093,168.86355325507674,56934900,34.69560177225884,0.0187383728926433,169.4580551147461,174.4463491821289,0.0132476748595337,1,16.8700008392334,2023-11-01,339.0,-0.125,2.769,2.894,5.662,3.305,21.444,2,11,4,2023,1,44,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-7116862.5,5.8531483101571435
2023-11-02,175.3515167236328,175.55888462715336,173.26787764016203,173.32712561259646,77334800,47.306434421138825,0.0206934952160309,169.66641998291016,174.3762365722656,0.0148923794222751,0,15.65999984741211,2023-11-02,257.0,0.432,3.028,2.597,5.625,3.017,21.201,3,11,4,2023,2,44,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,33408633.599999998,7.40818755816645
2023-11-03,174.44297790527344,174.61086723243213,171.1842192438163,172.06309922812656,79829200,45.78408269826764,-0.0051812429988347,170.03871154785156,174.3815689086914,0.0140353354474518,1,14.90999984741211,2023-11-03,310.0,0.838,2.93,2.092,5.022,2.779,20.74,4,11,4,2023,3,44,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,66896869.599999994,6.826406660450739
2023-11-06,176.99073791503906,177.18823614800198,174.00847994055556,174.17635419198152,63841300,54.06885853604276,0.0146051164704898,170.65392608642577,174.3938131713867,0.0145443242685675,1,14.890000343322754,2023-11-06,214.0,0.542,3.029,2.487,5.516,2.969,21.621,0,11,4,2023,6,45,-0.5000000000000004,0.8660254037844384,0.0,1.0,34601984.6,8.050853221647461
2023-11-07,179.54840087890625,180.1606499568927,176.73400192517136,176.9413698079054,70530000,61.14009443792623,0.0144508294275542,171.48145904541016,174.4260055541992,0.0149270048549895,1,14.8100004196167,2023-11-07,220.0,0.745,3.13,2.385,5.515,2.925,21.983,1,11,4,2023,7,45,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,52544850.0,9.054848242810921
2023-11-08,180.60504150390625,181.158042666624,179.3212801943679,180.07179468790036,49340300,63.49432639359343,0.0058849904528675,172.6457290649414,174.4017138671875,0.013471033117399,0,14.449999809265137,2023-11-08,239.0,1.216,3.247,2.031,5.277,2.977,21.062,2,11,4,2023,8,45,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,59997804.8,9.174930042768434
2023-11-09,180.13101196289062,181.81963914926845,179.5385022077218,180.6741433937705,53763500,68.73768049367953,-0.0026246750205218,174.17833709716797,174.29822265625,0.0087485131204562,1,15.289999961853027,2023-11-09,353.0,1.069,3.511,2.442,5.953,2.924,21.624,3,11,4,2023,9,45,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,57473181.5,10.509991321262257
2023-11-10,184.31369018554688,184.48180071812672,181.47581782404296,181.9108954867133,66133400,73.09237115817484,0.0232202005477986,175.99787445068358,174.27404052734374,0.009819239863857,0,14.170000076293944,2023-11-10,378.0,1.767,4.195,2.428,6.624,3.484,21.606,4,11,4,2023,10,45,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,116857717.8,10.357189048878427
2023-11-13,182.7316131591797,183.94784205398747,182.14822040593083,183.74020094629049,43627500,68.89345002644264,-0.0085836110425358,177.4547912597656,174.18681396484374,0.0114730463477323,1,14.760000228881836,2023-11-13,180.0,0.465,2.955,2.49,5.445,3.443,22.095,0,11,4,2023,13,46,-0.5000000000000004,0.8660254037844384,0.0,1.0,20286787.5,10.168673381587526
2023-11-14,185.34207153320312,186.004570716613,184.21483163952,185.59915603948025,60108400,76.74342937890266,0.0142857512659806,179.12535095214844,174.14705627441407,0.0114259456291651,1,14.15999984741211,2023-11-14,269.0,0.946,2.929,1.984,4.913,3.291,21.047,1,11,4,2023,14,46,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,56862546.4,10.866869482951437
2023-11-15,185.9056396484375,187.3789678351275,185.67821821290843,185.7474419604177,53790500,89.03201805538777,0.0030406917899017,180.5362701416016,174.25267333984374,0.0110967435557835,1,14.18000030517578,2023-11-15,223.0,0.274,3.032,2.757,5.789,3.529,21.777,2,11,4,2023,15,46,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,14738597.000000002,12.624740431958141
2023-11-16,187.586654663086,188.82266388785249,186.5385061665612,187.4482222334322,54412900,89.17918988867362,0.0090423024165777,181.7597839355469,174.49757415771484,0.010187902710531,0,14.31999969482422,2023-11-16,209.0,0.287,2.81,2.523,5.334,3.345,21.163,3,11,4,2023,16,46,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,15616502.299999999,12.770459719904775
2023-11-17,187.56686401367188,188.24914348244,186.4594046371221,188.1205937019468,50922700,88.2378835551192,-0.0001055013718841,183.07217254638672,174.729833984375,0.0096353355786567,1,13.800000190734863,2023-11-17,277.0,0.025,2.473,2.448,4.921,2.89,20.429,4,11,4,2023,17,46,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1273067.5,12.176828098906856
2023-11-20,189.3071746826172,189.76203272766995,187.75475490242272,187.7646375447921,46505100,88.79698210213799,0.0092783481671818,184.3038162231445,174.97359497070312,0.0093303514981946,0,13.40999984741211,2023-11-20,145.0,-0.266,2.996,3.262,6.259,3.523,22.065,0,11,4,2023,20,47,-0.5000000000000004,0.8660254037844384,0.0,1.0,-12370356.600000001,11.907675164403264
2023-11-21,188.5062255859375,189.37638084971888,187.61630503925363,189.2676114417462,38134500,84.40980361351123,-0.0042309495032215,185.1995986938477,175.26177215576172,0.0094946264700652,1,13.350000381469728,2023-11-21,220.0,0.139,2.759,2.62,5.379,3.15,22.271,1,11,4,2023,21,47,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,5300695.500000001,11.268709104401598
