date,close,high,low,open,volume,RSI,daily_return,SMA_10,SMA_50,volatilidad_10d,target_direction,VIX,fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona,day_of_week,month,quarter,year,day_of_month,week_of_year,month_sin,month_cos,day_sin,day_cos,sentiment_volume_interaction,vix_rsi_interaction,Returns,Buy_Hold_Equity,predicted_signal,Strategy_Returns,Strategy_Equity,Position,Buy_Signal,Sell_Signal
2025-05-14,211.490966796875,213.0946053909996,209.7478820292828,211.5905625216416,49325800,55.35425972820028,-0.002817811770519,203.44744110107425,208.35677612304687,0.0272811337592216,0,18.6200008392334,2025-05-14,174.0,0.052,2.867,2.815,5.682,3.17,21.529,2,5,2,2025,14,20,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,2564941.6,10.306963625942329,-0.0028178117705190964,87284.06355893222,1,-0.0028178117705190964,112407.45574244326,0.0,False,False
2025-05-15,210.6144561767578,212.1184991665837,208.71199985896817,210.116431917556,45029500,53.09383606351385,-0.0041444352607221,203.28900756835932,207.8790460205078,0.0272851586462099,0,17.829999923706055,2025-05-15,217.0,-0.419,2.633,3.052,5.685,2.972,21.565,3,5,2,2025,15,20,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,-18867360.5,9.466630929617136,-0.004144435260722168,86922.32040821946,0,-0.004144435260722168,111941.59031929623,-1.0,False,True
2025-05-16,210.4252014160156,211.73003772257164,208.94109887256835,211.52086084946143,54737900,51.79653605361337,-0.0008985839062414,203.90446014404296,207.4056875610352,0.0240436225091537,0,17.239999771118164,2025-05-16,226.0,-0.624,2.509,3.132,5.641,3.186,21.819,4,5,2,2025,16,20,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,-34156449.6,8.929722697090083,-0.0008985839062414236,86844.21341000746,1,-0.0,111941.59031929623,1.0,True,False
2025-05-19,207.9550018310547,208.65223273202483,203.45285841572863,207.0884445111699,46140500,47.32442031771652,-0.0117390862327239,204.91549682617188,206.80851806640624,0.021563564887413,0,18.13999938964844,2025-05-19,213.0,-0.859,2.579,3.438,6.018,3.255,22.069,0,5,2,2025,19,21,0.4999999999999999,-0.8660254037844387,0.0,1.0,-39634689.5,8.58464955678844,-0.011739086232723905,85824.7416999743,0,-0.011739086232723905,110627.49833750975,-1.0,False,True
2025-05-20,206.0426025390625,207.6462413037707,204.2198318786679,206.84939942841044,42496600,43.441131439729695,-0.0091962168505369,205.7730941772461,206.4036828613281,0.0219500700943393,0,18.09000015258789,2025-05-20,208.0,-0.179,2.824,3.003,5.827,3.425,21.702,1,5,2,2025,20,21,0.4999999999999999,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-7606891.399999999,7.858500743733008,-0.009196216850536953,85035.47876416003,0,-0.0,110627.49833750975,0.0,False,False
2025-05-21,201.2914276123047,206.2218644000924,199.91689108628387,204.3592586621154,59211800,37.785032985067424,-0.0230591871205716,206.38038635253903,206.0359262084961,0.0231639247024738,0,20.8700008392334,2025-05-21,265.0,-0.116,2.842,2.958,5.8,3.011,21.649,2,5,2,2025,21,21,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,-6868568.800000001,7.885736701088188,-0.023059187120571645,83074.62974744986,1,-0.0,110627.49833750975,1.0,True,False
2025-05-22,200.56431579589844,201.94882252859867,198.9108717270641,199.9168903850684,46742400,45.05113084410716,-0.0036122343858909,206.79161682128907,205.7304217529297,0.0232330386193024,0,20.280000686645508,2025-05-22,298.0,0.597,3.231,2.633,5.864,3.09,22.571,3,5,2,2025,22,21,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,27905212.8,9.136369644526498,-0.003612234385890978,82774.54471328096,1,-0.003612234385890978,110227.8858839899,0.0,False,False
2025-05-23,194.49839782714844,196.9187884239126,192.69555244631704,192.9047141233614,78432900,45.48859388725345,-0.030244253294404,206.49280242919923,205.4488314819336,0.0253484331375269,1,22.290000915527344,2025-05-23,245.0,-0.796,2.588,3.384,5.972,3.268,21.985,4,5,2,2025,23,21,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,-62432588.400000006,10.139407993929307,-0.030244253294404055,80271.09041664352,1,-0.030244253294404055,106894.12578320786,0.0,False,False
2025-05-27,199.4188690185547,199.94677348688447,196.64984031499387,197.51641281084125,56288500,52.34481469399125,0.0252982607896805,205.4389831542969,205.18985107421875,0.0156284610204583,1,18.959999084472656,2025-05-27,240.0,-0.132,2.796,2.928,5.724,3.015,21.149,1,5,2,2025,27,22,0.4999999999999999,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-7430082.0,9.92457638674965,0.02529826078968056,82301.8093958758,0,0.02529826078968056,109598.36125415636,-1.0,False,True
2025-05-28,199.6280212402344,201.92889064401075,199.1100718095576,199.79734764673603,45339700,55.568989626002704,0.0010488085842079,204.19292602539065,204.9249072265625,0.0148939748612129,0,19.309999465942383,2025-05-28,241.0,0.128,2.721,2.593,5.314,3.285,21.856,2,5,2,2025,28,22,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,5803481.600000001,10.7303716000107,0.001048808584207972,82388.12824006604,0,0.0,109598.36125415636,0.0,False,False
