fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona
2021-07-25,38,-0.49,2.943,3.434,6.377,3.946,22.917
2021-07-26,163,0.833,2.794,1.961,4.755,2.486,21.501
2021-07-27,546,-4.13,2.52,6.65,9.17,4.347,21.608
2021-07-28,265,-0.327,2.303,2.63,4.932,2.661,21.54
2021-07-29,261,-0.331,2.772,3.104,5.876,3.464,21.918
2021-07-30,267,-3.394,2.275,5.669,7.944,3.741,22.397
2021-07-31,187,-2.221,1.408,3.628,5.036,1.836,24.253
2021-08-01,123,-2.655,1.052,3.707,4.759,1.734,23.955
2021-08-02,170,-0.392,2.451,2.843,5.294,3.404,22.163
2021-08-03,294,-0.901,2.618,3.52,6.138,3.684,22.263
2021-08-04,174,0.146,2.732,2.586,5.319,2.894,21.924
2021-08-05,161,0.054,2.81,2.757,5.567,3.01,21.465
2021-08-06,157,-0.611,2.588,3.199,5.787,3.075,20.766
2021-08-07,37,0.307,2.914,2.607,5.52,2.913,21.509
2021-08-08,27,0.199,2.792,2.593,5.385,3.241,22.77
2021-08-09,191,0.048,2.14,2.092,4.232,2.504,21.813
2021-08-10,144,0.041,2.495,2.453,4.948,3.789,20.771
2021-08-11,160,0.961,3.261,2.301,5.562,3.092,22.047
2021-08-12,195,0.714,3.079,2.364,5.443,2.641,21.955
2021-08-13,101,0.975,3.102,2.127,5.229,2.844,20.786
2021-08-14,198,-5.229,1.265,6.495,7.76,3.091,21.526
2021-08-15,93,-6.278,0.931,7.21,8.141,3.556,19.757
2021-08-16,131,1.632,3.778,2.146,5.924,2.856,21.211
2021-08-17,93,0.736,2.923,2.187,5.11,2.918,20.937
2021-08-18,85,0.93,3.29,2.359,5.649,3.919,21.688
2021-08-19,179,-0.946,2.516,3.462,5.978,3.894,21.325
2021-08-20,194,-1.085,2.244,3.329,5.572,3.274,21.595
2021-08-21,67,0.251,3.136,2.885,6.021,3.936,22.545
2021-08-22,36,0.528,2.628,2.1,4.728,2.467,22.312
2021-08-23,169,-0.021,2.536,2.557,5.093,2.656,21.998
2021-08-24,397,-0.341,2.364,2.705,5.07,2.663,20.971
2021-08-25,238,0.53,3.292,2.762,6.054,3.724,21.363
2021-08-26,244,1.099,3.17,2.07,5.24,2.733,21.77
2021-08-27,359,-0.077,2.653,2.73,5.383,2.618,21.321
2021-08-28,107,0.107,2.48,2.373,4.853,2.485,22.634
2021-08-29,53,-0.7,2.621,3.321,5.941,2.85,22.173
2021-08-30,218,0.913,2.686,1.773,4.459,2.259,20.829
2021-08-31,328,0.179,3.16,2.981,6.141,2.402,21.365
2021-09-01,214,0.558,2.894,2.337,5.231,2.658,21.311
2021-09-02,469,-0.641,2.46,3.101,5.561,2.687,23.046
2021-09-03,274,-1.234,2.268,3.502,5.77,3.065,22.127
2021-09-04,82,-0.427,2.698,3.124,5.822,3.359,22.085
2021-09-05,73,-1.664,2.373,4.037,6.41,3.063,23.545
2021-09-06,111,-1.389,2.34,3.729,6.069,3.131,22.089
2021-09-07,231,0.758,2.985,2.227,5.213,2.891,21.419
2021-09-08,288,-0.059,2.69,2.749,5.439,2.583,21.885
2021-09-09,279,-0.728,2.937,3.665,6.602,4.168,21.419
2021-09-10,483,-0.681,2.504,3.185,5.689,2.491,21.745
2021-09-11,300,-1.404,2.379,3.783,6.162,1.927,22.939
2021-09-12,95,-0.348,2.989,3.337,6.327,2.202,22.838
2021-09-13,231,0.359,3.099,2.739,5.838,2.873,21.743
2021-09-14,443,0.416,2.736,2.32,5.056,2.396,21.895
2021-09-15,321,-0.963,2.531,3.495,6.026,4.057,20.148
2021-09-16,164,-0.466,2.519,2.985,5.505,2.901,21.394
2021-09-17,307,1.543,3.196,1.654,4.85,2.788,21.897
2021-09-18,118,0.471,2.858,2.387,5.245,2.79,21.985
2021-09-19,50,-0.238,2.471,2.709,5.18,2.751,21.443
2021-09-20,182,0.716,3.636,2.92,6.556,3.928,21.226
2021-09-21,165,0.31,2.757,2.447,5.204,3.081,21.824
2021-09-22,194,0.433,3.078,2.645,5.723,2.559,22.327
2021-09-23,327,0.6,2.838,2.238,5.076,2.572,21.905
2021-09-24,235,0.063,2.558,2.495,5.053,2.734,20.8
2021-09-25,91,0.851,3.061,2.21,5.271,2.967,22.106
2021-09-26,60,0.08,3.133,3.053,6.187,3.403,21.294
2021-09-27,286,-1.401,2.283,3.684,5.966,3.052,21.581
2021-09-28,249,-0.285,2.767,3.052,5.82,3.418,21.32
2021-09-29,214,0.118,2.961,2.843,5.804,3.288,21.413
2021-09-30,237,1.508,3.623,2.115,5.737,3.173,22.13
2021-10-01,183,0.707,3.007,2.3,5.307,3.037,21.602
2021-10-02,80,0.825,3.12,2.295,5.415,3.255,23.316
2021-10-03,44,0.202,2.896,2.694,5.591,2.728,23.229
2021-10-04,311,-1.222,2.917,4.139,7.056,3.626,21.93
2021-10-05,217,0.4,3.072,2.673,5.745,2.578,21.128
2021-10-06,244,0.474,3.364,2.89,6.253,2.904,21.87
2021-10-07,355,-1.752,2.767,4.519,7.286,4.249,21.881
2021-10-08,229,1.066,3.11,2.044,5.155,2.65,21.042
2021-10-09,88,-0.261,2.719,2.98,5.699,2.897,22.94
2021-10-10,37,-0.293,2.874,3.167,6.042,3.59,22.304
2021-10-11,176,-0.005,2.912,2.918,5.83,3.224,21.883
2021-10-12,147,-0.114,2.756,2.871,5.627,3.139,21.873
2021-10-13,258,-0.505,2.732,3.238,5.97,2.645,21.518
2021-10-14,265,0.961,3.43,2.469,5.899,3.107,22.104
2021-10-15,286,0.342,2.783,2.441,5.224,2.868,20.872
2021-10-16,109,0.858,3.294,2.437,5.731,3.279,21.463
2021-10-17,65,0.391,2.972,2.581,5.552,3.654,21.055
2021-10-18,401,0.148,2.55,2.401,4.951,2.534,20.629
2021-10-19,222,1.395,3.205,1.81,5.015,2.131,21.475
2021-10-20,358,0.909,3.292,2.383,5.675,2.22,19.253
2021-10-21,238,-0.27,2.655,2.925,5.58,2.657,22.173
2021-10-22,263,-0.541,2.585,3.126,5.712,3.046,22.413
2021-10-23,106,0.074,3.118,3.044,6.162,2.978,21.898
2021-10-24,55,0.565,3.053,2.488,5.541,3.415,22.193
2021-10-25,200,-0.473,2.769,3.242,6.01,3.943,21.147
2021-10-26,307,0.636,3.07,2.434,5.504,2.416,21.434
2021-10-27,365,0.138,2.886,2.748,5.634,2.853,20.315
2021-10-28,277,0.609,2.986,2.377,5.364,2.836,21.478
2021-10-29,325,0.23,2.92,2.69,5.61,2.426,22.291
2021-10-30,113,0.257,2.968,2.71,5.678,2.563,21.428
2021-10-31,309,3.277,4.757,1.481,6.238,2.631,20.603
2021-11-01,193,-1.489,2.788,4.277,7.066,5.865,20.948
2021-11-02,210,0.69,3.058,2.367,5.425,3.457,21.862
2021-11-03,165,0.694,3.163,2.469,5.632,3.789,22.85
2021-11-04,201,0.365,2.823,2.458,5.282,3.079,21.344
2021-11-05,297,0.962,3.135,2.172,5.307,2.502,21.548
2021-11-06,89,0.297,2.816,2.519,5.336,2.309,20.635
2021-11-07,65,0.404,2.903,2.498,5.401,2.449,21.72
2021-11-08,180,0.56,2.643,2.083,4.726,2.551,22.703
2021-11-09,235,1.399,3.314,1.915,5.229,2.688,21.328
2021-11-10,389,1.016,3.231,2.215,5.447,3.077,21.461
2021-11-11,461,2.245,4.365,2.12,6.486,3.629,21.823
2021-11-12,246,0.533,2.711,2.178,4.889,2.771,20.601
2021-11-13,246,-0.278,3.088,3.366,6.454,3.94,21.869
2021-11-14,171,0.892,2.605,1.714,4.319,2.525,21.547
2021-11-15,136,0.764,2.902,2.138,5.039,2.798,21.398
2021-11-16,291,-0.312,2.715,3.027,5.743,3.124,21.889
2021-11-17,417,0.567,2.865,2.298,5.164,2.761,22.586
2021-11-18,228,1.056,3.071,2.014,5.085,2.288,22.992
2021-11-19,198,0.755,3.26,2.505,5.765,3.103,22.384
2021-11-20,134,1.918,3.991,2.074,6.065,2.774,21.277
2021-11-21,44,1.602,3.501,1.899,5.4,2.799,22.581
2021-11-22,420,4.23,5.38,1.149,6.529,3.046,22.843
2021-11-23,252,1.466,3.606,2.14,5.745,3.56,20.394
2021-11-24,218,0.119,2.76,2.641,5.401,3.046,21.237
2021-11-25,171,-1.138,2.503,3.641,6.145,3.871,21.936
2021-11-26,182,0.474,2.733,2.26,4.993,2.863,22.443
2021-11-27,52,0.021,2.762,2.74,5.502,2.95,22.807
2021-11-28,39,0.736,3.381,2.645,6.025,3.566,21.846
2021-11-29,166,-0.034,2.753,2.786,5.539,3.409,20.679
2021-11-30,104,1.545,3.39,1.845,5.235,3.019,21.303
2021-12-01,156,0.709,2.868,2.159,5.027,2.51,21.969
2021-12-02,494,2.61,4.454,1.844,6.297,3.129,24.045
2021-12-03,256,-0.519,2.871,3.39,6.261,3.557,22.291
2021-12-04,75,-1.536,2.33,3.866,6.196,3.208,21.653
2021-12-05,52,-0.518,2.515,3.034,5.549,2.856,21.922
2021-12-06,206,1.335,3.236,1.901,5.138,2.37,22.033
2021-12-07,227,0.401,2.715,2.313,5.028,2.544,21.406
2021-12-08,235,1.087,3.513,2.425,5.938,3.602,21.682
2021-12-09,253,-1.074,2.878,3.952,6.83,4.544,21.468
2021-12-10,222,-0.253,3.165,3.418,6.583,4.276,21.446
2021-12-11,77,0.467,2.755,2.288,5.044,2.641,22.956
2021-12-12,161,-3.487,2.479,5.966,8.445,4.354,21.919
2021-12-13,222,-2.128,2.358,4.486,6.844,4.486,21.147
2021-12-14,482,-0.684,2.471,3.155,5.626,2.553,22.7
2021-12-15,222,-0.547,2.519,3.066,5.585,3.301,21.616
2021-12-16,166,-0.614,2.39,3.004,5.394,2.837,21.466
2021-12-17,134,0.15,2.897,2.747,5.644,3.608,21.276
2021-12-18,76,0.298,2.986,2.688,5.674,3.514,20.978
2021-12-19,72,-2.88,1.77,4.65,6.42,3.95,20.947
2021-12-20,120,0.42,3.598,3.178,6.776,4.245,21.628
2021-12-21,205,-1.222,2.935,4.156,7.091,3.992,21.052
2021-12-22,168,0.901,2.985,2.084,5.069,2.905,21.367
2021-12-23,151,-0.138,2.406,2.545,4.951,2.413,21.457
2021-12-24,225,1.198,2.507,1.308,3.815,2.264,24.978
2021-12-25,69,1.224,2.775,1.55,4.325,1.793,23.508
2021-12-26,120,0.075,2.796,2.72,5.516,2.203,22.206
2021-12-27,194,-0.494,2.49,2.984,5.474,2.72,20.083
2021-12-28,299,-1.599,2.08,3.68,5.76,3.655,19.907
2021-12-29,718,-4.579,1.872,6.451,8.322,2.875,20.169
2021-12-30,506,-4.343,2.605,6.949,9.554,2.877,21.285
2021-12-31,121,-1.829,2.621,4.45,7.072,3.372,21.707
2022-01-01,170,0.594,3.395,2.801,6.196,3.25,23.284
2022-01-02,255,-3.644,2.576,6.22,8.796,3.973,22.518
2022-01-03,577,-3.373,2.192,5.565,7.757,3.388,20.836
2022-01-04,450,-1.431,2.072,3.503,5.575,3.059,21.468
2022-01-05,185,-0.088,2.813,2.901,5.715,3.848,22.164
2022-01-06,214,0.629,2.998,2.37,5.368,2.939,21.373
2022-01-07,204,-0.273,2.646,2.919,5.564,3.166,22.437
2022-01-08,62,0.359,2.691,2.332,5.023,2.642,21.587
2022-01-09,37,0.091,2.531,2.44,4.97,2.626,21.63
2022-01-10,176,0.691,2.538,1.846,4.384,2.652,21.263
2022-01-11,199,0.005,2.719,2.714,5.433,2.931,21.897
2022-01-12,156,0.174,2.511,2.337,4.848,2.547,22.557
2022-01-13,243,0.678,2.697,2.018,4.715,2.738,21.075
2022-01-14,194,0.675,2.928,2.254,5.182,2.566,21.541
2022-01-15,107,0.937,2.949,2.012,4.962,2.482,22.363
2022-01-16,52,0.347,3.19,2.844,6.034,2.731,20.205
2022-01-17,110,1.884,3.458,1.574,5.031,2.256,21.785
2022-01-18,158,0.219,2.825,2.605,5.43,2.515,21.72
2022-01-19,227,0.21,2.535,2.325,4.861,2.651,22.242
2022-01-20,185,0.806,3.163,2.357,5.521,2.968,21.631
2022-01-21,136,1.162,3.21,2.047,5.257,2.967,21.973
2022-01-22,43,-0.394,2.611,3.005,5.616,2.425,21.09
2022-01-23,44,0.112,2.324,2.212,4.536,2.277,21.267
2022-01-24,243,0.025,2.964,2.938,5.902,2.368,21.286
2022-01-25,240,1.522,3.396,1.874,5.27,2.387,21.982
2022-01-26,180,0.905,3.012,2.107,5.118,2.651,21.607
2022-01-27,300,0.434,2.876,2.442,5.317,2.729,22.827
2022-01-28,344,0.01,2.792,2.782,5.574,2.798,21.531
2022-01-29,101,-0.574,2.502,3.076,5.578,2.791,22.446
2022-01-30,50,0.478,2.897,2.419,5.316,2.82,20.6
2022-01-31,155,0.04,2.881,2.841,5.722,2.704,22.487
2022-02-01,113,0.666,2.996,2.33,5.326,3.074,21.906
2022-02-02,203,1.204,3.356,2.152,5.508,3.15,21.945
2022-02-03,298,-0.186,2.847,3.033,5.88,3.08,21.01
2022-02-04,243,0.12,2.883,2.763,5.646,2.865,21.104
2022-02-05,122,0.234,2.72,2.486,5.206,2.883,22.488
2022-02-06,56,-0.228,2.452,2.679,5.131,3.071,20.045
2022-02-07,129,0.751,3.041,2.29,5.33,2.563,21.932
2022-02-08,214,0.812,3.205,2.392,5.597,3.175,21.978
2022-02-09,169,0.739,2.984,2.245,5.229,2.698,21.877
2022-02-10,355,3.006,4.512,1.506,6.018,3.349,19.81
2022-02-11,180,1.871,3.657,1.786,5.443,3.106,21.652
2022-02-12,90,1.329,3.443,2.114,5.556,2.944,23.123
2022-02-13,46,0.878,3.261,2.382,5.643,3.32,23.859
2022-02-14,169,0.469,2.915,2.446,5.36,2.525,22.021
2022-02-15,271,1.698,3.326,1.628,4.954,3.157,22.967
